Normal,2,2,2,2,2,2,3,2,2,2,2,2,2,0,2,2,2,2
Fighting,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,2,2,3
Flying,2,2,2,1,3,3,1,2,0,2,2,1,3,2,2,2,2,2
Poison,2,2,2,1,2,2,1,1,3,2,3,1,2,2,2,2,2,1
Ground,2,2,3,3,0,3,2,1,2,2,2,2,1,2,2,2,2,2
Rock,1,1,3,3,2,2,3,1,3,1,2,2,2,2,2,2,3,2
Bug,2,3,2,1,2,2,1,2,1,3,2,2,3,2,2,2,2,2
Ghost,0,2,2,2,2,2,0,1,2,2,2,1,2,3,3,2,2,2
Steel,1,3,2,1,2,1,3,0,3,1,1,1,2,2,2,1,1,1
Fire,2,1,3,1,2,1,2,2,3,2,2,1,3,2,2,2,1,1
Water,2,1,1,3,3,1,2,2,2,2,2,2,2,2,2,2,1,2
Grass,2,3,1,1,1,3,2,3,1,3,2,3,2,2,2,2,2,2
Electric,2,2,2,2,1,2,2,2,3,1,2,2,2,2,2,2,1,2
Psychic,2,2,2,2,1,2,2,2,3,1,2,2,2,2,2,2,1,2
Ice,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2
Dragon,2,1,1,1,1,3,2,2,2,2,2,2,2,2,2,3,2,3
Dark,2,2,2,2,2,2,3,2,2,2,0,3,2,2,1,2,2,3
Fairy,2,2,2,2,2,2,2,3,2,2,2,1,2,2,1,0,3,2
